,algorithm,type,size,md_time,,
73,Quick Sort,Decrescente,740,739,273430,0.038987684
74,Quick Sort,Decrescente,750,749,280875,0.035105944
75,Quick Sort,Decrescente,760,759,288420,0.03640337
76,Quick Sort,Decrescente,770,769,296065,0.03879292
77,Quick Sort,Decrescente,780,779,303810,0.041688299
78,Quick Sort,Decrescente,790,789,311655,0.041192126
79,Quick Sort,Decrescente,800,799,319600,0.047172546
80,Quick Sort,Decrescente,810,809,327645,0.045879197
81,Quick Sort,Decrescente,820,819,335790,0.042085528
82,Quick Sort,Decrescente,830,829,344035,0.051875901
83,Quick Sort,Decrescente,840,839,352380,0.043982434
84,Quick Sort,Decrescente,850,849,360825,0.061233616
85,Quick Sort,Decrescente,860,859,369370,0.046776414
86,Quick Sort,Decrescente,870,869,378015,0.049085355
87,Quick Sort,Decrescente,880,879,386760,0.049467587
88,Quick Sort,Decrescente,890,889,395605,0.049269676
89,Quick Sort,Decrescente,900,899,404550,0.050563717
90,Quick Sort,Decrescente,910,909,413595,0.065119338
91,Quick Sort,Decrescente,920,919,422740,0.056148553
92,Quick Sort,Decrescente,930,929,431985,0.067015529
93,Quick Sort,Decrescente,940,939,441330,0.057546091
94,Quick Sort,Decrescente,950,949,450775,0.059047627
95,Quick Sort,Decrescente,960,959,460320,0.062331367
96,Quick Sort,Decrescente,970,969,469965,0.06084249
97,Quick Sort,Decrescente,980,979,479710,0.061435437
98,Quick Sort,Decrescente,990,989,489555,0.080891871
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
